city,city_en,city_fa,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tehran,Tehran,تهران,35.6892,51.3889,Iran,IR,Tehrān,primary,14148000.0,9033003.0
Mashhad,Mashhad,مشهد,36.3264,59.5433,Iran,IR,Khorāsān-e Raẕavī,admin,3372090.0,3001184.0
Khowrhesht,Khowrhesht,خورحشت,36.205,49.6872,Iran,IR,Qazvīn,,2500000.0,2500000.0
Eşfahān,Esfahan,اصفهان,32.6447,51.6675,Iran,IR,Eşfahān,admin,2219343.0,1961260.0
Karaj,Karaj,کرج,35.8272,50.9489,Iran,IR,Alborz,admin,1973470.0,1592492.0
Shīrāz,Shiraz,شیراز,29.61,52.5425,Iran,IR,Fārs,admin,1565572.0,1565572.0
Tabrīz,Tabriz,تبریز,38.0814,46.3006,Iran,IR,Āz̄arbāyjān-e Sharqī,admin,1558693.0,1558693.0
Qom,Qom,قم,34.64,50.8764,Iran,IR,Qom,admin,1201158.0,1201158.0
Ahvāz,Ahvaz,اهواز,31.3047,48.6783,Iran,IR,Khūzestān,admin,1184788.0,1184788.0
Kermānshāh,Kermanshah,کرمانشاه,34.3325,47.0933,Iran,IR,Kermānshāh,admin,946651.0,945651.0
Kermān,Kerman,کرمان,30.2911,57.0678,Iran,IR,Kermān,admin,738374.0,537718.0
Orūmīyeh,Orumiyeh,ارومیه,37.5439,45.0647,Iran,IR,Āz̄arbāyjān-e Gharbī,admin,736224.0,736224.0
Pīshbar,Pishbar,پیسهبار,33.3886,59.9789,Iran,IR,Khorāsān-e Jonūbī,,720207.0,720207.0
Borvāyeh-ye Al Bū ‘Azīz,Borvayeh-ye Al Bu Aziz,بوروایهه-یه ال بو ازیز,31.6283,48.6147,Iran,IR,Khūzestān,,690000.0,690000.0
Rasht,Rasht,رشت,37.2744,49.5889,Iran,IR,Gīlān,admin,679995.0,679995.0
Bahār,Bahar,بهار,34.9028,48.4425,Iran,IR,Hamadān,minor,673405.0,673405.0
Zāhedān,Zahedan,زاهدان,29.5025,60.8558,Iran,IR,Sīstān va Balūchestān,admin,587730.0,587730.0
Hamadān,Hamadan,همدان,34.8064,48.5161,Iran,IR,Hamadān,admin,554406.0,554406.0
Yazd,Yazd,یزد,31.8822,54.3397,Iran,IR,Yazd,admin,529673.0,529673.0
Ardabīl,Ardabil,اردبیل,38.2425,48.29,Iran,IR,Ardabīl,admin,529374.0,529374.0
Bandar ‘Abbās,Bandar Abbas,بندرعباس,27.1961,56.2878,Iran,IR,Hormozgān,admin,526648.0,526648.0
Arāk,Arak,اراک,34.0914,49.6933,Iran,IR,Markazī,admin,520944.0,520944.0
Eslāmshahr,Eslamshahr,اسلام‌شهر,35.5317,51.2247,Iran,IR,Tehrān,minor,448129.0,448129.0
Sanandaj,Sanandaj,سنندج,35.3114,46.9961,Iran,IR,Kordestān,admin,412767.0,412767.0
Qazvīn,Qazvin,قزوین,36.2894,50.0086,Iran,IR,Qazvīn,admin,402748.0,402748.0
Zanjān,Zanjan,زنجان,36.6789,48.5056,Iran,IR,Zanjān,admin,386851.0,386851.0
Khorramābād,Khorramabad,خرم‌آباد,33.4875,48.3561,Iran,IR,Lorestān,admin,373416.0,373416.0
Gorgān,Gorgan,گرگان,36.8378,54.4414,Iran,IR,Golestān,admin,312223.0,312223.0
Shahrīār,Shahriar,شهریار,35.6722,51.0236,Iran,IR,Tehrān,minor,309607.0,309607.0
Shahr-e Qods,Shahr-e Qods,شهر قدس,35.7097,51.1119,Iran,IR,Tehrān,minor,309605.0,309605.0
Kāshān,Kashan,کاشان,33.9825,51.4325,Iran,IR,Eşfahān,minor,304487.0,304487.0
Malārd,Malard,ملارد,35.6806,50.9783,Iran,IR,Tehrān,minor,281027.0,281027.0
Sartā,Sarta,سرتا,36.4491,53.3234,Iran,IR,Māzandarān,,271467.0,271467.0
Dezfūl,Dezful,دزفول,32.3786,48.4144,Iran,IR,Khūzestān,minor,264709.0,264709.0
Bābol,Babol,بابل,36.5475,52.6783,Iran,IR,Māzandarān,minor,250217.0,250217.0
Bojnūrd,Bojnurd,بجنورد,37.4722,57.3289,Iran,IR,Khorāsān-e Shomālī,admin,250000.0,199791.0
Qā’em Shahr,Qaem Shahr,قائم‌شهر,36.4636,52.8581,Iran,IR,Māzandarān,,247953.0,204953.0
Khomeynī Shahr,Khomeyni Shahr,خمینی‌شهر,32.6803,51.5361,Iran,IR,Eşfahān,minor,247128.0,247128.0
Sabzevār,Sabzevar,سبزوار,36.2125,57.6764,Iran,IR,Khorāsān-e Raẕavī,minor,243700.0,243700.0
Āmol,Amol,آمل,36.4703,52.3467,Iran,IR,Māzandarān,minor,237528.0,237528.0
Pākdasht,Pakdasht,پاکدشت,35.485,51.6794,Iran,IR,Tehrān,minor,236319.0,236319.0
Najafābād,Najafabad,نجف‌آباد,32.6447,51.3603,Iran,IR,Eşfahān,minor,235281.0,235281.0
Borūjerd,Borujerd,بروجرد,33.9111,48.7522,Iran,IR,Lorestān,minor,234997.0,234997.0
Madan,Madan,مادان,30.3469,48.2825,Iran,IR,Khūzestān,,231476.0,231476.0
Qarchak,Qarchak,قرچک,35.4267,51.5842,Iran,IR,Tehrān,minor,231075.0,231075.0
Varāmīn,Varamin,ورامین,35.3508,51.6358,Iran,IR,Tehrān,minor,225628.0,225628.0
Bandar-e Būshehr,Bandar-e Bushehr,بندر بوشهر,28.9264,50.8514,Iran,IR,Būshehr,admin,223504.0,223504.0
Neyshābūr,Neyshabur,نیشابور,36.22,58.82,Iran,IR,Khorāsān-e Raẕavī,minor,221700.0,221700.0
Sāveh,Saveh,ساوه,35.0278,50.3611,Iran,IR,Markazī,minor,220762.0,220762.0
Bīrjand,Birjand,بیرجند,32.8744,59.2161,Iran,IR,Khorāsān-e Jonūbī,admin,203636.0,203636.0
Nasīm Shahr,Nasim Shahr,نسیم‌شهر,35.5617,51.1617,Iran,IR,Tehrān,,200393.0,200393.0
Khowy,Khowy,خوی,38.5464,44.9542,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,198845.0,198845.0
Būkān,Bukan,بوکان,36.515,46.2075,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,193501.0,193501.0
Shahr-e Kord,Shahr-e Kord,شهرکرد,32.3311,50.8594,Iran,IR,Chahār Maḩāl va Bakhtīārī,admin,190441.0,190441.0
Semnān,Semnan,سمنان,35.5811,53.3833,Iran,IR,Semnān,admin,185129.0,185129.0
Fardīs,Fardis,فردیس,35.73,50.9822,Iran,IR,Alborz,minor,181174.0,181174.0
Marāgheh,Maragheh,مراغه,37.3894,46.2378,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,175255.0,175255.0
Sīrjān,Sirjan,سیرجان,29.437,55.6802,Iran,IR,Kermān,minor,175000.0,175000.0
Shāhīn Shahr,Shahin Shahr,شاهین‌شهر,32.8606,51.5531,Iran,IR,Eşfahān,minor,173329.0,173329.0
Malāyer,Malayer,ملایر,34.3,48.8178,Iran,IR,Hamadān,minor,170237.0,170237.0
Mahābād,Mahabad,مهاباد,36.7678,45.7339,Iran,IR,Āz̄arbāyjān-e Gharbī,,168393.0,168393.0
Saqqez,Saqqez,سقز,36.2411,46.2706,Iran,IR,Kordestān,minor,165258.0,165258.0
